text,audio_filepath,label
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_0.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_1.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_2.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_3.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_4.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_5.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_6.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_7.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_8.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_9.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_10.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_11.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_12.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_13.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_14.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_15.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_16.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_17.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_18.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_19.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_20.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_21.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_22.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_23.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_24.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_25.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_26.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_27.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_28.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_29.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_30.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_31.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_32.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_33.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_34.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_35.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_36.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_37.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_38.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_39.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_40.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_41.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_42.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_43.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_44.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_45.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_46.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_47.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_48.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_49.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_50.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_51.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_52.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_53.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_54.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_55.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_56.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_57.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_58.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_59.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_60.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_61.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_62.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_63.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_64.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_65.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_66.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_67.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_68.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_69.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_70.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_71.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_72.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_73.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_74.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_75.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_76.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_77.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_78.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_79.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_80.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_81.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_82.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_83.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_84.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_85.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_86.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_87.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_88.wav,1
